Name;Relatiecode
R - DR VANDEPERRESTRAAT;G019
T - BORIS;G020
T- DE KROON OEVEL;G021
De Kroon Oevel;G021
L - STATIONSSTRAAT 37;G022
Stationsstraat 37;G022
L - ESAERT;G023
L - MARQUIS;G024
Marquis;G024
L - 't POORTHUYS;G025
R - 't POORTHUYS;G025
R - PLATINA;G026
Platina;G026
R - DE KROON;G027
L - GASTHOF;G028
Gasthof;G028
L - TER BEEMDEN;G029
Ter Beemden;G029
T- PROCESSIESTRAAT 17-19;G030
Processiestraat 17-19;G030
T- WESTELHOF;G031
Westelhof;G031
R - ELSUM 16;G032
L - AGAPANTHUS;G033
Agapanthus;G033
T- 't VELD;G034
L - REN;G035
Ren;G035
L - 't LAAR;G036
R - DE DREEF;G037
T- VIOLET;G038
L - FITNESS;G039
Fitness;G039
R- FITNESS;G039
R - HET LAAR II;G040
R - HET GROENE EILAND;G041
R - RECTOR DE RAMSTRAAT  2;G042
Rector de Ramstraat 2;G042
V- LIERSVELD;G043
Liersveld;G043
L - KABIENSTRAAT;G044
R - KABIENSTRAAT;G044
R - GUESTHOUSE;G045
L - LOOZE;G046
R - HET HEIKE;G047
T- JADE;G048
R - VILLA GASTHOF;G049
Villa Gasthof;G049
R - LERM;G052
R- TECHNISCHE SCHOOLSTRAAT;G053
Technische Schoolstraat 27-29;G053
T- DEN ACHTERSTEN MEY;G054
Den Achterste Mey;G054
L - DORP 38;G057
T- GEELVINK;G058
Geelvink;G058
R - DE RASOP;G059
L - HULSTERPARK;G060
Hulsterpark;G060
R - DE GROENE EIKEN;G061
L - PORTUS;G063
L - HET CENTRUM;G064
L - LAAR 71;G065
R - DE PASTORIE - GEEL;G066
R - ROOSENDAEL;G067
T- NEERSTRAAT 53;G069
V - ASTRIDLAAN 23;G070
R - FEHRENBACHSTRAAT 31-45;G071
L - GROTE MARKT 34;G072
T- GESTELSESTEENWEG 141;G073
L - STATIONSSTRAAT 33-35;G074
L - MOLENHOF;G077
L - PAS 127-129 (DE PAS);G078
L- LAARSHOEK;G079
L - DE BIST;G080
R - BELFAST;G081
T- D'OASE;G083
D'oase;G083
T- AUGUSTIJNENHOF;G084
Augustijnenhof;G084
L - UNIZO;G085
Unizo;G085
T- DE WERFT;G086
De Werft;G086
L - GERHAGEN;G088
T- DE STEEN;G090
L - DEUN;G091
Deun;G091
T- ZAMMELSEWEG 193;G092
V- TER DONK;G093
L - PAS 71/77 (CADOT);G094
T- SINT MARTINUS;G095
Sint Martinus;G095
L - EBENORA;G096
Ebenora;G096
T- DE KRUIER;G097
R - BEDRIJVENPARK WINKELOM;G098
Bedrijvenpark Winkelom;G098
L - BRESSERDIJK  11-13;G117
R - DE SCHUUR;G118
De Schuur;G118
L - NOTENLAER;G119
Notenlaer;G119
R - TER SMIDSE;G120
R - KABIENE;G122
R - WAAIBURG;G124
L - PROJECT PATERSBOS;G129
Project Patersbos;G129
L - STATIONSSTRAAT 159 - GEEL;G130
L - RESIDENCIA ARRIBA;G131
T- DE MUS;G132
L - TEN BOSSE;G134
L - DE MOLDER;G135
T- LIERSE STEENWEG 26;G136
R - HELDENHOF;G137
R - HOEK VIOLETSTRAAT - ELSUM;G139
R - 't ANKER;G140
L - PAS 86-92A;G141
Pas 86-92A;G141
R - MARBER;G143
T- HET PARKHOF;G144
Het Parkhof;G144
T- DE KASTELEIN;G145
L - CAROLUS;G148
V - HERENTHOUTSEWEG 59-61;G149
L - MILLE;G154
L - PLEKIJZER;G155
L - BRESSERDIJK 17 (Vilma);G157
T - ELEGANCE;G158
Elegance;G158
L - JADE 2;G159
L - 't PUNT;G162
t Punt;G162
L - ESMOREIT;G163
R - ESMOREIT;G163
L - COOLS;G167
L - GROENVELD;G168
Groenveld;G168
R - DE BURCHT;G170
E - DE LOFT;G171
De Loft;G171
L - BOVENRIJ 48;G173
E - DR VANDEPERREHOF;G174
DR Vandeperrehof;G174
L - ROEPERSTRAATJE 1-7;G175
L - MIDDENSTAND;G176
L - WAAIBURG 44-46;G177
Waaiburg 44-46;G177
L - HOOGLAND;G178
R - HOOGLAND;G178
L - BEDRIJVENCENTRUM SAS 8;G181
R- BEDRIJVENCENTRUM SAS 8;G181
L - KLOOSTERSTRAAT 11;G182
T- KOOLMIJNLAAN 344;G183
Koolmijnlaan 344;G183
T- HET WOONHOF BLOK 1;G184
Het Woonhof Blok 1;G184
T- HET WOONHOF BLOK 2;G185
T- HET WOONHOF BLOK 3 A;G186
T- HET WOONHOF BLOK 3 B;G187
T- HET WOONHOF BLOK 3 C;G188
T- SOERLE PLUS;G189
L - QUADRANT;G190
T- ZILVERDORP;G191
L - VEERLESEWEG;G192
R - VEERLESEWEG;G192
L - FRAIKINSTRAAT 10-12;G193
Fraikinstraat 10-12;G193
V- BEDRIJFSUNITS HEZEMEER;G194
L - GEREBERNUS;G196
L - ALEIDIS;G198
R- ALEIDIS;G198
T- VELDHOVEN;G199
T- AMANDUS;G200
T- MARKTZICHT;G201
T- OSSESTRAAT;G202
T- SINT PIETER HERENTHOUT;G203
T- PALLO 2020;G204
T- VELODROOM;G205
Velodroom;G205
E - VENNEHOF;G206
Vennehof;G206
V - VISPLUK 17 VORSELAAR;G207
*T* - KORENVELD;G208
Korenveld;G208
T - KORENVELD;G208
T- OP 'T HOOGZAND;G209
Op't Hoogzand;G209
L - GALBERGEN;G210
Galbergen;G210
L - THOMAS;G212
T- HANNAH;G217
Hannah;G217
T- LEBON;G219
T- SMIDJE SMEE;G221
L - VOGELZANG;G223
Vogelzang;G223
L - MODEST;G225
Modest;G225
T- LOGEN 47;G226
T- DE EIK - GEEL;G227
De Eik Geel;G227
T- ESTATE 1801;G228
Estate 1801;G228
L - VAERENHOF;G229
L - DOCTOR;G230
L - HOOGVELD;G231
L - 't DORP;G232
L - GASTHUISBOSSTRAAT;G233
L - KAPELPLEIN;G234
L - EBENORA II;G235
L - WILLEM II;G236
L - DE BUSSER;G239
R - TORENZICHT 2;G240
L - EUROPAWIJK 6-12;G242
L - BOURG-LEOPOLD;G246
R - MARKUS;G250
Markus;G250
R - LICHTPUNT;G251
R - KATTESTRAAT 22;G252
E - DE LINDE;G254
L - RESIDENTIE 99;G255
E - PARKING DE LOFT;G256
Parking De Loft;G256
E - ZONNEWEELDE;G260
E - ACHTERBOS 2021;G263
R- ACHTERBOS 2021;G263
L - HERMELYN;G264
L - LYNX;G264
R - DE RODE AKKERS BEDRIJFSUNITS;G265
T- VIOLETTA;G267
Violetta;G267
E - WETERINGSTRAAT 1-3-5;G268
E - CAMPANIL;G270
L - DE MIJLPAAL;G277
E - DE DAMMEN;G278
E - DE HEI;G279
ZZ - DE HEI;G279
L - VOSSENBERG;G281
E - PARK LANE HASSELT FASE 3;G282
Park Lane;G282
*L* - STEENBERG;G284
L - STEENBERG;G284
E - ROMANO - BLOK A;G290
Romano Blok A;G290
E - ROMANO - BLOK B;G291
Romano Blok B;G291
E - ROMANO - BLOK C;G292
Romano Blok C;G292
E - ROMANO - HV;G293
Romano HV;G293
E - ROMANO - PARKEERVERDIEPING;G294
*E* - SINT PAULUSSTRAAT 62-64;G295
vereniging van mede-eigenaars gebouw te Mol, Sint-Paulusstraat 62-64;G295
E - SINT PAULUSSTRAAT 62-64;G295
R - SINT PAULUSSTRAAT 62-64;G295
E - DELA;G296
L - EUROPAWIJK 2-4;G297
*L* - ZANDBERG;G298
L - ZANDBERG;G298
*E* - HET KATERKE;G302
R - HET KATERKE;G302
*L* - REYCKMANS II;G304
Vereniging van mede-eigenaars Residentie Reyckmans II te Geel, Nieuwstraat 80-86;G304
L - REYCKMANS II;G304
*L* - GREENPARK;G306
Vereniging van mede-eigenaars gebouw te Mol, kapellestraat 41, Residentie Greenpark;G306
L - GREENPARK;G306
*T* - PASTORIJ;G307
T - PASTORIJ;G307
*L* - GLORIUS;G308
Glorius;G308
L - GLORIUS;G308
*T* - PAND 6;G311
T - PAND 6;G311
*E* - DE PAS (Pas 144);G312
E - DE PAS (Pas 144);G312
Prinsenplein-Blok A;G313
T - PRINSENPLEIN - BLOK A;G313
*T* - DE HEPPENAAR;G314
T - DE HEPPENAAR;G314
L - ELSUM;G315
Prinsenplein-Blok B;G316
T - PRINSENPLEIN - BLOK B;G316
*V* - VENAKKER;G319
Venakker;G319
*L* - RUE NEUVE;G320
L - RUE NEUVE;G320
*L* JOANNA - EMILIA;G321
L JOANNA - EMILIA;G321
*V* - MARTINUS;G322
Vereniging van mede-eigenaars van residentie MARTINUS;G322
L - MARTINUS;G322
Vereniging van Mede-eigenenaars Residentie Gemini I te 3500 Hasselt, hoek Koningin Astridlaan en Weyerstraat thans Burgemeester Bollenstraat;G323
*V*- GEMINI I;G323
Verenging van Mede-eigenaars Residentie Gemini II te 3500 Hasselt, aan de Weyerstraat thans Burgemeester Bollenstraat;G324
*V* - GEMINI II;G324
VERENIGING VAN MEDE-EIGENAARS VAN HET GEBOUW TE 2480 DESSEL TURNHOUTSEBAAN 31 RESIDENTIE EBENORA III;G325
*T* - EBENORA III;G325
T - EBENORA III;G325
Merijn;G330
L - MERIJN;G330
*T* - TER VOORDE;G343
Abelenstraat 32-34 (000015);H001
Abelenstraat 6 (000016);H002
Plaza Italia (000377);H003
De Dreef (000102);H004
Agra (000018);H005
Alverberg (000023);H006
Anicius (000028);H007
Ambassador (000026);H009
Arizona (000033);H010
Arnold Maesstraat (000034);H011
Wannes (000502);H012
De Brug Ham (000099);H013
Ecodroom blok A (handelsp. en vredeger) (000175);H014
Belisiahof I en II (000044);H015
Belvedere (000045);H016
Kerksteeg (000268);H017
De Bilter (000092);H018
Bleyen Hoeck (000052);H019
Boerenkrijg 13 (000054);H020
Roebben (000388);H021
Uilenspiegel (000572);H022
Heymberg (000237);H023
Boomgaerd (000056);H024
Albert (000019);H025
Bougainville (000059);H026
Brittney (000063);H027
De Brug (000098);H028
Carpe Diem (000068);H029
Casterhoven (000072);H030
Ohase D - Tropen (000350);H031
Kempische Steenweg 153 (000265);H032
Charme (000075);H033
Christine (000076);H034
Congostraat (000080);H035
Gebouwencomplex Hazelare - Heymberg (000205);H036
Villa 5 (000483);H037
Sint-Jan (000417);H038
Dima (000164);H039
Wonen aan het Water (000516);H040
Gouden Boog (000111);H041
Dorpstraat 28 Zonhoven (000171);H042
Eikenstraat 1 (000653);H043
Elzenstraat 17 (000187);H044
De Drieskes B (000104);H045
De Drieskes C (000105);H046
De Potaerde (000137);H047
Ecodroom Parkings (000178);H048
Misoni (000332);H049
Elzenstraat 4-6 (000188);H050
Elzenstraat 8-10-12 (000189);H051
Emiel Van Doren (000191);H052
Ohase C - Toendra (000349);H053
Windmolenstraat 48-50 (000510);H054
Gaerveld 1 (000203);H055
Gaerveld 2 (000204);H056
De Pastorij (000131);H057
Vereniging van mede-eigenaars van de residentie DE PASTORIJ te 3560 Lummen, Pastorijstraat 20-22-24;H057
De Gieterij (000109);H058
City (000078);H059
Greenfield (000209);H060
Carpe Diem I (000069);H061
Groeninge (000210);H062
Grote Markt Hasselt (000211);H063
Grote Markt St-Truiden (000212);H064
Grutman (000213);H065
Kempische Steenweg 140-142 (000264);H067
Harmoniestraat 23 - 25 (000221);H068
Kennedy (000266);H069
Hazelare - Heymberg garages (000225);H070
Hibiscus (000238);H071
De Drieskes A (000103);H072
Helstraat 4- (000231);H073
Hengelhoef Domein (000232);H074
Heppen Centrum (000233);H075
Kempenstraat 70 (000263);H076
Servaas Blok B3-B4 (000407);H077
Bresserpark (000062);H078
Servaas Blok B4+ (000408);H079
Zoutbrugstraat 19 (000525);H080
Zoutbrugstraat 21-23 (000526);H081
De Winning Hasselt (000156);H082
De Hessel;H083
Vereniging van mede-eigenaars Residentie De Hessel;H083
In De Rode Engel (000245);H084
Meidoornstaete (000324);H085
Cicero (000077);H086
De Kaai (000113);H087
De Kaai II (000114);H088
De Berg (000570);H089
Kapelhoek (000258);H090
Heidebloem Hazelaren (000227);H091
Kermeta (000269);H092
Parkeergarage Kerkplein (000368);H093
De Laurier (000119);H094
De Poort (000136);H095
Luikersteenweg 330 (000688);H096
Ter Meeuwen (000453);H097
De Kroon (000117);H098
Cypresstaete (000082);H099
Kempenheide (000262);H100
Kuringen;H101
Kuringen NIEUW (000283);H101
Kuringersteenweg 440 (000284);H102
Dorpveld II (000173);H103
Perron I (000373);H104
De Leest (000120);H105
Dorpsdreef;H106
Vereniging van Mede-eigenaars Residentie Dorpsdreef te 3520 Zonhoven, Dorpsplein;H106
De Linde (000122);H107
Luikersteenweg 23-25 (000311);H108
Zonnestraat 2 (000522);H109
Maabos (000312);H110
Marie Curie (000318);H111
Marie Curie C (000319);H112
Marie Curie 6-8;H113
Markt 13 (000320);H114
De Markt (000124);H115
Mercurius (000327);H116
Passerell (000130);H117
La Luna (000285);H118
Villa Meurkenshof (000486);H119
Villa Caritat (000484);H120
Mireille (000331);H121
Molenhof (000334);H122
Molenpoort (000335);H123
Muggenstraat 2A (000338);H124
Nachtegaal (000339);H125
Wisseveld (000513);H126
Nieuwe Kuilenweg;H127
Nieuwe Kuilenweg (000343);H127
Nysen-Paredis (000345);H128
Boscofin (000647);H129
Rosmolen;H130
Rosmolen (000657);H130
Zonnestraat 4 (000523);H131
Palladio (000360);H132
Zetellaan 63 (000519);H133
Djef Swennenstraat (000165);H134
Paradijs (000364);H135
Ohase B - Savanne (000348);H136
Halewijn (000219);H137
Peter Brueghel (000374);H138
Carpe Diem II (000070);H139
Gildehof (000692);H140
Gildehof;H140
Ohase Hoofdvereniging (000351);H141
Stegelveld (000441);H142
De Rederijker (000138);H143
Rhena (000383);H144
Urban Villa's A5 - A6 (000464);H145
Villa Leanne (000569);H146
De Miezerik (000126);H147
Royal Nord (000392);H148
Nanof (000340);H149
Boomkensstraat 112;H150
Salix (000399);H151
De Schacht (000141);H152
Sinterveld A (000421);H153
Sinterveld B (000422);H154
Sint Hubertus (000414);H155
Binnenhof Hasselt (000050);H156
Bloesemhof (000703);H157
Bloesemhof;H157
Le Bonheur (000294);H158
De Smeet (000142);H159
De Smis (000143);H160
Taxandria (000445);H161
Somville;H162
Som Ville (000427);H162
Sonnevanck Hasselt (000428);H163
Langblook (000289);H164
Hof Van Heers;H165
De Square Appartwoningen 1 (000146);H166
De Square Appartwoningen 2 (000147);H167
De Square Garages;H168
Vesta (000617);H169
De Notelaar (000850);H170
Vereniging van Mede-eigenaars Residentie Notelaar te 3500 Hasselt,  Notelarenstraat 7/Sint-Hubertusstraat 1;H170
Louwies (000309);H171
Steenweg 31-33 (000439);H172
't Klein Veld (000004);H173
Ohase - Waterwoningen (000346);H174
't Pleintje (000006);H175
Ter Elzen (000450);H176
Ter Gilles I (000451);H177
Ter Hoeven (000452);H178
Lucca (000310);H179
Sint-Hubertusstraat 37 - 39 (000416);H180
De Meldert (000125);H181
Roca (000386);H182
Casterhof (000071);H183
Trevia (000462);H184
Hasselt C (000224);H185
Tymeram (000463);H186
Van Caenegem (000466);H187
Van Veldeke 50 (000467);H188
Van Veldeke Hasselt (000468);H189
Van Veldeke Kermt (000469);H190
Veldmansberg- (000471);H191
Ventura (000472);H192
Berkenbos (000046);H193
De Vest (000149);H194
Elisabeth II (000186);H195
Via Palladio (000480);H196
Viola (000490);H197
Vlierlo (000494);H198
De Wieze (000154);H199
Ohase A - Steppe (000347);H200
Souffleur (000613);H201
Sportlaan (000432);H202
Den Waelvisch (000162);H203
Waerdenhof I (000501);H204
Begijnenpoel (000040);H205
Het Dorp Zonhoven (000002);H206
Domein Petersheim (000167);H207
Fendi;H208
Fendi (000195);H208
Waterloo II (000505);H209
Weyenburgh (000507);H210
De Winning (000155);H211
Winterheide (000511);H212
Lindeplein (000304);H213
Hollandsveld Garagecomplex (000241);H214
Zonnebloem (000521);H215
Zonneweelde (000524);H216
Zavelberg (000517);H217
De Mutsaerd (000128);H218
De Philippepoort 1 (000133);H219
